verdict	reason	authoritative	engineSource	resolvedName	resolvedTarget	path
kept	-	auth-kept	program-files	getopt	D:\Program Files\Git\usr\bin\getopt.exe	D:\Program Files\Git\usr\bin\getopt.exe
kept	-	auth-kept	program-files	fastapi	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\fastapi.exe	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\fastapi.exe
filtered	2-excluded-name	auth-filtered	program-files	htcvive_install	C:\Program Files\NVIDIA Corporation\FrameViewSDK\etw_fcat\htcvive_install.bat	C:\Program Files\NVIDIA Corporation\FrameViewSDK\etw_fcat\htcvive_install.bat
kept	-	auth-kept	program-files	米哈游启动器	D:\Program Files\miHoYo Launcher\1.18.0.380\hpatchz.exe	D:\Program Files\miHoYo Launcher\1.18.0.380\hpatchz.exe
kept	-	auth-kept	program-files	docker-debug	C:\Program Files\Docker\cli-plugins\docker-debug.exe	C:\Program Files\Docker\cli-plugins\docker-debug.exe
kept	-	auth-kept	program-files	unicharset_extractor	C:\Program Files\Tesseract-OCR\unicharset_extractor.exe	C:\Program Files\Tesseract-OCR\unicharset_extractor.exe
filtered	2-excluded-name	auth-filtered	program-files	VMware Tools Upgrader	C:\Program Files (x86)\VMware\VMware Workstation\tools-upgraders\VMwareToolsUpgraderNT.exe	C:\Program Files (x86)\VMware\VMware Workstation\tools-upgraders\VMwareToolsUpgraderNT.exe
filtered	5-system-tool	auth-filtered	start-menu	捕获要保存或共享的步骤，带屏幕截图。	C:\WINDOWS\system32\psr.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Steps Recorder.lnk
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-24\bin\jps.exe	C:\Program Files\Java\jdk-24\bin\jps.exe
filtered	2-excluded-name	auth-filtered	program-files	pywin32_postinstall	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\pywin32_postinstall.exe	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\pywin32_postinstall.exe
kept	-	auth-kept	program-files	CheckTool	C:\Program Files (x86)\ASUS\ROGLSLoader\CheckTool.exe	C:\Program Files (x86)\ASUS\ROGLSLoader\CheckTool.exe
kept	-	auth-kept	program-files	minidumper	D:\Program Files\Git\usr\bin\minidumper.exe	D:\Program Files\Git\usr\bin\minidumper.exe
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-24\bin\ktab.exe	C:\Program Files\Java\jdk-24\bin\ktab.exe
kept	-	auth-kept	program-files	Diagnostics utility for Internet Explorer	C:\Program Files\Internet Explorer\iediagcmd.exe	C:\Program Files\Internet Explorer\iediagcmd.exe
kept	-	auth-kept	program-files	VBoxVMMPreload	C:\Program Files\ldplayer9box\VBoxVMMPreload.exe	C:\Program Files\ldplayer9box\VBoxVMMPreload.exe
kept	-	auth-kept	program-files	VMware mksSandbox	C:\Program Files (x86)\VMware\VMware Workstation\x64\mksSandbox-debug.exe	C:\Program Files (x86)\VMware\VMware Workstation\x64\mksSandbox-debug.exe
filtered	2-excluded-name	auth-filtered	program-files	InstallerCli	C:\Program Files\Docker\Docker\InstallerCli.exe	C:\Program Files\Docker\Docker\InstallerCli.exe
kept	-	auth-kept	program-files	maintenanceservice	C:\Program Files\Mozilla Firefox\maintenanceservice.exe	C:\Program Files\Mozilla Firefox\maintenanceservice.exe
kept	-	auth-kept	program-files	LICENCE	C:\Program Files (x86)\Labcenter Electronics\Proteus 8 Professional\BIN\LICENCE.EXE	C:\Program Files (x86)\Labcenter Electronics\Proteus 8 Professional\BIN\LICENCE.EXE
